,post_uuid,user_uuid,influence_power,user_follower_count,user_following_count,user_rff_score,user_influencer_tier,post_retweet_count,post_quote_count,post_like_count,post_reply_count,post_impression_count,post_engagement_count,mentions,hashtags,url_count,string_token_count,pii_token_count,risk_score,pii_detected,pii_disclosed,post_uuids_replied_to,post_uuids_quoted,in_reply_to_user_uuid,is_comment,is_text_starter,time_elapsed,collection_name,timestamp,cluster_name,urls
0,0b04ddfa-aa3e-41bb-88eb-f1ad53b1e709,71979daa-0f6c-472f-bda9-7ab0e1eb64f8,1.0,171,89,1.9213483146067416,NON_INFLUENCER,0,0,0,0,0,0,[],[],1,16,2,1.75,True,"['PERSON', 'LOCATION']",[],[],,False,True,0,Zelda_2023-04-13,2023-04-17 00:33:33,Zelda_2023-04-13_graph-88,[]
1,6300a767-1bdb-413d-a25d-47b9d27056f2,fda3a78e-7f76-496c-a79c-294dd49e0c39,1.0,1897,1521,1.2472057856673242,NANO_INFLUENCER,1,0,2,0,0,3,[],[],1,56,7,2.333333333333333,True,"['DATE_TIME', 'PERSON', 'LOCATION']",[],[],,False,True,0,Zelda_2023-04-13,2023-04-17 00:33:18,Zelda_2023-04-13_graph-89,[]
2,b39c0e36-1872-4a1e-ac77-a53a8a96fd67,7dacb406-b7df-49be-8f08-9af3f6b75430,1.0,27,85,0.3176470588235294,NON_INFLUENCER,0,0,0,0,2,0,[],[],0,6,2,2.25,True,"['PERSON', 'LOCATION']",[],[],,False,True,0,Zelda_2023-04-13,2023-04-17 00:33:07,Zelda_2023-04-13_graph-90,[]
3,579047c7-1676-45f3-9eff-905305a92c72,e64a3e29-4c95-4b6c-aebc-5452b0467af2,1.0,46,303,0.15181518151815182,NON_INFLUENCER,0,0,0,0,1,0,[],[],0,18,1,2.0,True,['PERSON'],[],[],,False,True,0,Zelda_2023-04-13,2023-04-17 00:32:35,Zelda_2023-04-13_graph-91,[]
4,15910f9e-7f4f-405b-b3e4-bbb5e8fa982b,d938c132-a839-4bb7-a3c8-27340507fdc9,1.0,935,924,1.0119047619047619,NON_INFLUENCER,0,0,0,0,7,0,[],[],1,9,0,1.0,False,[],[],[],,False,True,0,Zelda_2023-04-13,2023-04-17 00:32:28,Zelda_2023-04-13_graph-92,[]
5,13b09f78-abf7-4e25-b3fb-68ae76b01dc4,fe735917-f490-44aa-ad8d-89018fe95156,0.7071067811865475,613,239,2.564853556485356,NON_INFLUENCER,0,0,0,0,5,0,[],[],0,11,3,3.0,True,['PERSON'],[],[],,False,True,0,Zelda_2023-04-13,2023-04-17 00:31:47,Zelda_2023-04-13_graph-45,[]
6,f3d23e8e-e2b7-493d-8d0f-ea0f72c1e2df,f184610c-1244-4cd8-accc-48fa8a1ecd9b,1.0,0,1,0.0,NON_INFLUENCER,0,0,0,0,1,0,[],[],1,14,1,2.0,True,['PERSON'],[],[],,False,True,0,Zelda_2023-04-13,2023-04-17 00:31:44,Zelda_2023-04-13_graph-93,[]
7,4bf572f3-95c9-4077-97d4-6bfcd26b7254,a123a11e-4265-486e-a788-a1903b66c7d9,0.7071067811865475,26,150,0.17333333333333334,NON_INFLUENCER,0,0,0,1,3,1,[],[],0,36,2,1.75,True,"['DATE_TIME', 'LOCATION']",[],[],,False,True,0,Zelda_2023-04-13,2023-04-17 00:31:12,Zelda_2023-04-13_graph-46,[]
8,48ff0cf5-3200-4a9d-a28d-8b1ae15f7313,5c85b73d-1e5b-4a1b-9620-c10b5182bcfe,1.0,49,99,0.494949494949495,NON_INFLUENCER,0,0,0,0,2,0,[],[],1,16,3,2.25,True,"['PERSON', 'LOCATION', 'NRP']",[],[],,False,True,0,Zelda_2023-04-13,2023-04-17 00:31:11,Zelda_2023-04-13_graph-94,[]
9,cf5fcc38-5bc8-499f-9c38-b86ac589746a,8f632158-2ff7-450b-b30e-26ff0d4f9e9e,1.0,1742739,432,4034.1180555555557,MEGA_INFLUENCER,2,0,2,0,1192,4,[],[],1,10,1,1.25,True,['LOCATION'],[],[],,False,True,0,Zelda_2023-04-13,2023-04-17 00:30:46,Zelda_2023-04-13_graph-95,[]
